# MAC Snapshot
# Timestamp: 2026-09-08T22:39:37


===== BRIDGE s4 =====
port  VLAN  MAC                Age
    1     0  a6:34:18:ed:c8:4b  279
    3     0  0e:8b:81:66:31:2f  271
    1     0  e6:3c:58:88:f0:57  103
    4     0  06:de:c8:d5:50:33   95
    1     0  0a:0e:d8:98:af:ad   78
    1     0  5a:63:63:1b:29:50   62
    1     0  8a:9f:80:5e:78:8b   37
    4     0  d6:c5:65:e5:96:28   37
    2     0  6e:c8:5e:cd:97:1b    1
    3     0  e2:47:64:3b:a9:64    1
    1     0  fa:03:a1:15:fe:7d    1

====================================================
